PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Starling S Marte C,MIA,61,228,36,64,14,1,6,27,12,41,10,2,.281,.340,.430,.770
Jose J Abreu,CWS,60,240,43,76,15,0,19,60,18,59,0,0,.317,.370,.617,.987
Nick N Castellanos R,CIN,60,218,37,49,11,2,14,34,19,69,0,2,.225,.298,.486,.784
Maikel M Franco,KC,60,223,23,62,16,0,8,38,16,38,1,0,.278,.321,.457,.778
Freddie F Freeman,ATL,60,214,51,73,23,1,13,53,45,37,2,0,.341,.462,.640,1.102
Didi D Gregorius S,PHI,60,215,34,61,10,2,10,40,15,28,3,2,.284,.339,.488,.827
Vladimir V Guerrero Jr.,TOR,60,221,34,58,13,2,9,33,20,38,1,0,.262,.329,.462,.791
Francisco F Lindor S,CLE,60,236,30,61,13,0,8,27,24,41,6,2,.258,.335,.415,.750
Manny M Machado,SD,60,224,44,68,12,1,16,47,26,37,6,3,.304,.370,.580,.950
Whit W Merrifield R,KC,60,248,38,70,12,0,9,30,12,33,12,3,.282,.325,.440,.764
Matt M Olson,OAK,60,210,28,41,4,1,14,42,34,77,1,0,.195,.310,.424,.734
Marcell M Ozuna D,ATL,60,228,38,77,14,0,18,56,38,60,0,0,.338,.431,.636,1.067
Carlos C Santana,CLE,60,206,34,41,7,0,8,30,47,43,0,0,.199,.349,.350,.698
Kyle K Seager,SEA,60,203,35,49,12,0,9,40,32,33,5,0,.241,.355,.433,.788
Dansby D Swanson S,ATL,60,237,49,65,15,0,10,35,22,71,5,0,.274,.345,.464,.809
Brian B Anderson,MIA,59,200,27,51,7,1,11,38,22,66,0,0,.255,.345,.465,.810
Orlando O Arcia S,MIL,59,173,22,45,10,1,5,20,14,32,2,0,.260,.317,.416,.734
Javier J Báez Baez S,CHC,59,222,27,45,9,1,8,24,7,75,3,0,.203,.238,.360,.599
Cavan C Biggio,TOR,59,220,41,55,16,0,8,28,41,61,6,0,.250,.375,.432,.807
Charlie C Blackmon R,COL,59,221,31,67,12,1,6,42,19,44,2,1,.303,.356,.448,.804
Mark M Canha D,OAK,59,191,32,47,12,2,5,33,37,54,4,0,.246,.387,.408,.795
Trent T Grisham C,SD,59,215,42,54,8,3,10,26,31,64,10,1,.251,.352,.456,.808
Keston K Hiura,MIL,59,217,30,46,4,0,13,32,16,85,3,2,.212,.297,.410,.707
Adalberto A Mondesi S,KC,59,219,33,56,11,3,6,22,11,70,24,8,.256,.294,.416,.710
Franmil F Reyes D,CLE,59,211,27,58,10,0,9,34,24,69,0,0,.275,.344,.450,.795
Kyle K Schwarber L,CHC,59,191,30,36,6,0,11,24,30,66,1,0,.188,.308,.393,.701
Trevor T Story S,COL,59,235,41,68,13,4,11,28,24,63,15,3,.289,.355,.519,.874
Fernando F Tatis Jr. S,SD,59,224,50,62,11,2,17,45,27,61,11,3,.277,.366,.571,.937
Trea T Turner S,WSH,59,233,46,78,15,4,12,41,22,36,12,4,.335,.394,.588,.982
Carlos C Correa S,HOU,58,201,22,53,9,0,5,25,16,49,0,0,.264,.326,.383,.709
