PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Paul P Quantrill,LA,2,5,1.75,89,0,0,0,1,1,77.1,61,18,15,2,3,15,44,0.98,.227
Oscar O Villarreal,ARI,10,7,2.57,86,1,0,0,0,0,98.0,80,40,28,6,3,46,80,1.29,.222
Ray R King,ATL,3,4,3.51,80,0,0,0,0,0,59.0,46,30,23,3,1,27,43,1.24,.213
Tom T Martin,LA,1,2,3.53,80,0,0,0,0,0,51.0,36,21,20,6,2,24,51,1.18,.198
Trever T Miller,TOR,2,2,4.61,79,0,0,0,3,3,52.2,46,30,27,7,5,28,44,1.41,.231
Scott S Sauerbeck,BOS,3,5,4.76,79,0,0,0,0,0,56.2,47,34,30,6,5,43,50,1.59,.225
Steve S Kline,STL,5,5,3.82,78,0,0,0,3,3,63.2,56,29,27,5,3,30,31,1.35,.237
Brad B Lidge,HOU,6,3,3.60,78,0,0,0,1,1,85.0,60,36,34,6,5,42,97,1.20,.202
Joe J Nathan,SF,12,4,2.96,78,0,0,0,0,0,79.0,51,26,26,7,3,33,83,1.06,.186
Billy B Wagner,HOU,1,4,1.78,78,0,0,0,44,44,86.0,52,18,17,8,3,23,105,0.87,.169
Jamie J Walker,DET,4,3,3.32,78,0,0,0,3,3,65.0,61,30,24,9,2,17,45,1.20,.247
Kyle K Farnsworth,CHC,3,2,3.30,77,0,0,0,0,0,76.1,53,31,28,6,0,36,92,1.17,.196
Eric E Gagne,LA,2,3,1.20,77,0,0,0,55,55,82.1,37,12,11,2,3,20,137,0.69,.133
Mike M Matthews,SD,6,4,4.45,77,0,0,0,0,0,64.2,65,34,32,4,4,29,44,1.45,.271
David D Weathers,NYM,1,6,3.08,77,0,0,0,7,7,87.2,87,33,30,6,6,40,75,1.45,.264
Mike M De Jean,STL,5,8,4.68,76,0,0,0,19,19,82.2,86,46,43,13,2,39,71,1.51,.269
Octavio O Dotel,HOU,6,4,2.48,76,0,0,0,4,4,87.0,53,25,24,9,3,31,97,0.97,.172
Jason J Grimsley,KC,2,6,5.16,76,0,0,0,0,0,75.0,88,47,43,6,5,36,58,1.65,.299
Guillermo G Mota,LA,6,3,1.97,76,0,0,0,1,1,105.0,78,23,23,7,1,26,99,0.99,.206
B. J. B Ryan,BAL,4,1,3.40,76,0,0,0,0,0,50.1,42,19,19,1,3,27,63,1.37,.227
Tim T Worrell,SF,4,4,2.87,76,0,0,0,38,38,78.1,74,35,25,5,0,28,65,1.30,.246
Brian B Fuentes,COL,3,3,2.75,75,0,0,0,4,4,75.1,64,24,23,7,6,34,82,1.30,.231
Javier J López Lopez,COL,4,1,3.70,75,0,0,0,1,1,58.1,58,25,24,5,4,12,40,1.20,.258
Luis L Vizcaino,MIL,4,3,6.39,75,0,0,0,0,0,62.0,64,45,44,16,1,25,61,1.44,.263
Scott S Eyre,SF,2,1,3.32,74,0,0,0,1,1,57.0,60,23,21,4,1,26,35,1.51,.268
La Troy L Hawkins,MIN,9,3,1.86,74,0,0,0,2,2,77.1,69,20,16,4,1,15,75,1.09,.239
Braden B Looper,FLA,6,4,3.68,74,0,0,0,28,28,80.2,82,34,33,4,1,29,56,1.38,.264
Danys D Baez,CLE,2,9,3.81,73,0,0,0,25,25,75.2,65,36,32,9,4,23,66,1.16,.229
Rocky R Biddle,MON,5,8,4.65,73,0,0,0,34,34,71.2,71,43,37,10,6,40,54,1.55,.254
Francisco F Cordero,TEX,5,8,2.94,73,0,0,0,15,15,82.2,70,33,27,4,2,38,90,1.31,.230
Mike M Remlinger,CHC,6,5,3.65,73,0,0,0,0,0,69.0,54,30,28,11,2,39,83,1.35,.211
J. C. J Romero,MIN,2,0,5.00,73,0,0,0,0,0,63.0,66,37,35,7,6,42,50,1.71,.272
Chad C Bradford,OAK,7,4,3.04,72,0,0,0,2,2,77.0,67,28,26,7,7,30,62,1.26,.236
Keith K Foulke,OAK,9,1,2.08,72,0,0,0,43,43,86.2,57,21,20,10,7,20,88,0.89,.184
Aquilino A Lopez,TOR,1,3,3.42,72,0,0,0,14,14,73.2,58,31,28,5,5,34,64,1.25,.212
Justin J Speier,COL,3,1,4.05,72,0,0,0,9,9,73.1,73,37,33,11,7,23,66,1.31,.257
Mike M Timlin,BOS,6,4,3.55,72,0,0,0,2,2,83.2,77,37,33,11,4,9,65,1.03,.239
Ugueth U Urbina,FLA,3,4,2.81,72,0,0,0,32,32,77.0,56,25,24,8,0,31,78,1.13,.204
Damaso D Marte,CWS,4,2,1.58,71,0,0,0,11,11,79.2,50,16,14,3,3,34,87,1.05,.185
Joey J Eischen,MON,2,2,3.06,70,0,0,0,1,1,53.0,57,27,18,7,3,13,40,1.32,.282
Jeff J Nelson,NYY,4,2,3.74,70,0,0,0,8,8,55.1,51,25,23,4,4,24,68,1.36,.248
Joe J Beimel,PIT,1,3,5.05,69,0,0,0,0,0,62.1,69,35,35,7,4,33,42,1.64,.299
Armando A Benitez,SEA,4,4,2.96,69,0,0,0,21,21,73.0,59,27,24,6,0,41,75,1.37,.218
Felix F Heredia,NYY,5,3,2.69,69,0,0,0,1,1,87.0,74,32,26,10,2,33,45,1.23,.228
Joe J Borowski,CHC,2,2,2.63,68,0,0,0,33,33,68.1,53,23,20,5,1,19,66,1.05,.207
Kerry K Ligtenberg,BAL,4,2,3.34,68,0,0,0,1,1,59.1,60,23,22,9,2,14,47,1.25,.263
Mike M Mac Dougal,KC,3,5,4.08,68,0,0,0,27,27,64.0,64,36,29,4,8,32,57,1.50,.267
David D Riske,CLE,2,2,2.29,68,0,0,0,8,8,74.2,52,21,19,9,3,20,82,0.96,.196
Felix F Rodriguez,SF,8,2,3.10,68,0,0,0,2,2,61.0,59,21,21,5,4,29,46,1.44,.259
Mike M Williams,PHI,1,7,6.14,68,0,0,0,28,28,63.0,66,44,43,5,4,41,39,1.70,.268
Matt M Herges,SF,3,2,2.62,67,0,0,0,3,3,79.0,68,27,23,3,3,29,68,1.23,.233
Kent K Mercker,ATL,0,2,1.95,67,0,0,0,1,1,55.1,46,16,12,6,0,32,48,1.41,.227
Steve S Reed,COL,5,3,3.27,67,0,0,0,0,0,63.1,59,24,23,9,8,26,39,1.34,.254
Arthur A Rhodes,SEA,3,3,4.17,67,0,0,0,3,3,54.0,53,25,25,4,1,18,48,1.31,.256
Terry T Adams,PHI,1,4,2.65,66,0,0,0,0,0,68.0,68,22,20,1,2,23,51,1.34,.268
Tom T Gordon,CWS,7,6,3.16,66,0,0,0,12,12,74.0,57,29,26,4,4,31,91,1.19,.213
Eddie E Guardado,MIN,3,5,2.89,66,0,0,0,41,41,65.1,50,22,21,7,0,14,60,0.98,.207
Roberto R Hernandez,ATL,5,3,4.35,66,0,0,0,0,0,60.0,61,36,29,10,3,43,45,1.73,.263
Chris C Spurling,DET,1,3,4.68,66,0,0,0,3,3,77.0,78,42,40,9,3,22,38,1.30,.266
Scott S Williamson,BOS,5,4,4.16,66,0,0,0,21,21,62.2,54,30,29,7,1,34,74,1.40,.227
Luis L Ayala,MON,10,3,2.92,65,0,0,0,5,5,71.0,65,27,23,8,5,13,46,1.10,.244
Rheal R Cormier,PHI,8,0,1.70,65,0,0,0,1,1,84.2,54,18,16,4,1,25,67,0.93,.182
Alan A Embree,BOS,4,1,4.25,65,0,0,0,1,1,55.0,49,26,26,5,0,16,45,1.18,.241
Mark M Guthrie,CHC,2,3,2.74,65,0,0,0,0,0,42.2,40,14,13,6,3,22,24,1.45,.260
Luther L Hackman,SD,2,2,5.17,65,0,0,0,0,0,76.2,78,51,44,7,8,36,48,1.49,.261
Jesse J Orosco,MIN,2,2,7.68,65,0,0,0,2,2,34.0,41,31,29,4,3,21,29,1.82,.299
Ricky R Stone,HOU,6,4,3.69,65,0,0,0,1,1,83.0,76,36,34,11,6,31,47,1.29,.247
Scott S Sullivan,CWS,6,0,3.66,65,0,0,0,0,0,64.0,48,28,26,6,6,32,56,1.25,.205
Aaron A Fultz,TEX,1,3,5.21,64,0,0,0,0,0,67.1,75,43,39,9,2,27,53,1.51,.287
Kevin K Gryboski,ATL,6,4,3.86,64,0,0,0,0,0,44.1,44,22,19,3,2,23,32,1.51,.272
Jorge J Julio,BAL,0,7,4.38,64,0,0,0,36,36,61.2,60,36,30,10,2,34,52,1.52,.256
Mike M Myers,ARI,0,1,5.70,64,0,0,0,0,0,36.1,38,23,23,4,5,21,21,1.62,.262
Ricardo R Rincon,OAK,8,4,3.25,64,0,0,0,0,0,55.1,45,21,20,4,3,32,40,1.39,.230
Mariano M Rivera,NYY,5,2,1.66,64,0,0,0,40,40,70.2,61,15,13,3,4,10,63,1.00,.235
Julian J Tavarez,PIT,3,3,3.66,64,0,0,0,11,11,83.2,75,37,34,1,5,27,39,1.22,.244
Brendan B Donnelly,ANA,2,2,1.58,63,0,0,0,3,3,74.0,55,14,13,2,4,24,79,1.07,.200
Shigetoshi S Hasegawa,SEA,2,4,1.48,63,0,0,0,16,16,73.0,62,12,12,5,0,18,32,1.10,.235
Jose J Jimenez,COL,2,10,5.22,63,7,0,0,20,20,101.2,137,62,59,7,6,32,45,1.66,.322
Brian B Boehringer,PIT,5,4,5.49,62,0,0,0,0,0,62.1,64,39,38,11,3,30,47,1.51,.267
Lance L Carter,TB,7,5,4.33,62,0,0,0,26,26,79.0,72,39,38,12,4,19,47,1.15,.242
Cal C Eldred,STL,7,4,3.74,62,0,0,0,8,8,67.1,62,32,28,9,4,31,67,1.38,.248
Jeff J Fassero,STL,1,7,5.68,62,6,0,0,3,3,77.2,93,51,49,17,2,34,55,1.64,.296
Chris C Hammond,NYY,3,2,2.86,62,0,0,0,1,1,63.0,65,23,20,5,2,11,45,1.21,.270
Brian B Shouse,TEX,0,1,3.10,62,0,0,0,1,1,61.0,62,24,21,1,4,14,40,1.25,.267
Paul P Shuey,LA,6,4,3.00,62,0,0,0,0,0,69.0,50,24,23,6,4,33,60,1.20,.207
Carlos C Silva,PHI,3,1,4.43,62,1,0,0,1,1,87.1,92,43,43,7,8,37,48,1.48,.280
John J Smoltz,ATL,0,2,1.12,62,0,0,0,45,45,64.1,48,9,8,2,0,8,73,0.87,.204
Ben B Weber,ANA,5,1,2.69,62,0,0,0,0,0,80.1,84,26,24,7,0,22,46,1.32,.275
Travis T Harper,TB,4,8,3.77,61,0,0,0,1,1,93.0,86,45,39,9,6,31,64,1.26,.252
Jose J Mesa,PHI,5,7,6.52,61,0,0,0,24,24,58.0,71,44,42,7,1,31,45,1.76,.296
Antonio A Alfonseca,CHC,3,1,5.83,60,0,0,0,0,0,66.1,76,43,43,7,2,27,51,1.55,.290
Buddy B Groom,BAL,1,3,5.36,60,0,0,0,1,1,45.1,58,27,27,7,3,14,34,1.59,.309
Todd T Jones,BOS,3,5,7.08,59,1,0,0,0,0,68.2,93,58,54,10,1,31,59,1.81,.323
Francisco F Rodríguez Rodriguez,ANA,8,3,3.03,59,0,0,0,2,2,86.0,50,30,29,12,2,35,95,0.99,.172
Scott S Schoeneweis,CWS,3,2,4.18,59,0,0,0,0,0,64.2,63,35,30,3,4,19,56,1.27,.252
Leo L Estrella,MIL,7,3,4.36,58,0,0,0,3,3,66.0,75,32,32,10,3,21,25,1.45,.290
Dan D Plesac,PHI,2,1,2.70,58,0,0,0,2,2,33.1,29,12,10,3,1,11,37,1.20,.228
Juan J Rincon,MIN,5,6,3.68,58,0,0,0,0,0,85.2,74,38,35,5,4,38,63,1.31,.231
Dan D Miceli,HOU,2,4,3.20,57,0,0,0,1,1,70.1,59,27,25,13,2,25,58,1.19,.223
Chris C Reitsma,CIN,9,5,4.29,57,3,0,0,12,12,84.0,92,41,40,14,0,19,53,1.32,.281
Byung- Hyun B Kim,BOS,9,10,3.31,56,12,0,0,16,16,122.1,104,55,45,12,12,33,102,1.12,.224
Turk T Wendell,PHI,3,3,3.38,56,0,0,0,1,1,64.0,54,24,24,6,6,28,27,1.28,.235
Billy B Koch,CWS,5,5,5.77,55,0,0,0,11,11,53.0,59,36,34,10,1,28,42,1.64,.281
John J Riedling,CIN,2,3,4.90,55,8,0,0,1,1,101.0,107,61,55,7,3,47,65,1.52,.270
Jesus J Colome,TB,3,7,4.50,54,0,0,0,2,2,74.0,69,37,37,9,3,46,69,1.55,.247
Al A Levine,KC,3,6,2.79,54,0,0,0,1,1,71.0,67,29,22,9,3,29,30,1.35,.251
Cliff C Politte,TOR,1,5,5.66,54,0,0,0,12,12,49.1,52,32,31,11,1,17,40,1.40,.269
Jose J Valverde,ARI,2,1,2.15,54,0,0,0,10,10,50.1,24,16,12,4,2,26,71,0.99,.137
Esteban E Yan,STL,2,1,6.35,54,0,0,0,1,1,66.2,84,48,47,13,7,23,53,1.61,.308
Curt C Leskanic,KC,5,0,2.22,53,0,0,0,2,2,52.2,38,15,13,2,1,29,50,1.27,.204
Trey T Hodges,ATL,3,3,4.66,52,1,0,0,0,0,65.2,69,38,34,11,3,31,66,1.52,.268
Scott S Linebrink,SD,3,2,3.31,52,6,0,0,0,0,92.1,93,37,34,9,6,36,68,1.40,.270
Graeme G Lloyd,KC,1,4,5.29,52,0,0,0,0,0,47.2,68,34,28,2,1,14,25,1.72,.335
Troy T Percival,ANA,0,5,3.47,52,0,0,0,33,33,49.1,33,22,19,7,3,23,48,1.14,.184
Armando A Almanza,FLA,4,5,6.08,51,0,0,0,0,0,50.1,59,37,34,10,2,25,49,1.67,.296
Jim J Brower,SF,8,5,3.96,51,5,0,0,2,2,100.0,90,48,44,8,1,39,65,1.29,.249
Valerio V De Los Santos,PHI,4,3,4.50,51,0,0,0,1,1,52.0,45,31,26,8,5,25,39,1.35,.241
Jay J Powell,TEX,3,0,7.82,51,0,0,0,0,0,58.2,75,58,51,7,2,34,40,1.86,.319
Steve S Sparks,OAK,0,6,4.88,51,0,0,0,2,2,107.0,114,68,58,13,3,37,54,1.41,.277
Scott S Stewart,MON,3,1,3.98,51,0,0,0,0,0,43.0,52,22,19,5,1,13,29,1.51,.306
D. J. D Carrasco,KC,6,5,4.82,50,2,0,0,2,2,80.1,82,44,43,8,7,40,57,1.52,.271
Matt M Mantei,ARI,5,4,2.62,50,0,0,0,29,29,55.0,37,17,16,6,2,18,68,1.00,.191
Julio J Mateo,SEA,4,0,3.15,50,0,0,0,1,1,85.2,69,32,30,14,5,13,71,0.96,.220
Stephen S Randolph,ARI,8,1,4.05,50,0,0,0,0,0,60.0,50,28,27,7,2,43,50,1.55,.226
Mike M Stanton,NYM,2,7,4.57,50,0,0,0,5,5,45.1,37,25,23,6,2,19,34,1.24,.219
Michael M Tejera,FLA,3,4,4.67,50,6,0,0,2,2,81.0,82,44,42,6,1,36,58,1.46,.267
Jaret J Wright,ATL,2,5,7.35,50,0,0,0,2,2,56.1,76,46,46,9,3,31,50,1.90,.332
Adam A Bernero,COL,1,14,5.87,49,17,0,0,0,0,133.1,137,90,87,19,8,54,80,1.43,.267
Brandon B Lyon,BOS,4,6,4.12,49,0,0,0,9,9,59.0,73,33,27,6,2,19,50,1.56,.296
Rick R White,HOU,1,2,5.78,49,0,0,0,1,1,67.0,74,48,43,13,4,21,54,1.42,.280
Darren D Holmes,ATL,1,2,4.29,48,0,0,0,0,0,42.0,47,22,20,5,0,11,46,1.38,.280
Antonio A Osuna,NYY,2,5,3.73,48,0,0,0,0,0,50.2,58,22,21,3,2,20,47,1.54,.282
Eddie E Oropesa,ARI,3,3,5.82,47,0,0,0,0,0,38.2,38,27,25,3,2,27,39,1.68,.257
Rosman R Garcia,TEX,1,2,6.02,46,0,0,0,0,0,46.1,63,33,31,4,2,23,25,1.86,.320
Jason J Simontacchi,STL,9,5,5.56,46,16,1,0,1,1,126.1,153,82,78,21,5,41,74,1.54,.299
Gabe G White,NYY,5,1,4.05,46,0,0,0,0,0,46.2,44,22,21,7,2,8,29,1.11,.251
Jay J Witasick,SD,3,7,4.53,46,0,0,0,2,2,45.2,42,24,23,6,1,25,42,1.47,.244
Franklyn F German,DET,2,4,6.04,45,0,0,0,5,5,44.2,47,32,30,5,2,45,41,2.06,.273
Terry T Mulholland,CLE,3,4,4.91,45,3,0,0,0,0,99.0,117,60,54,17,6,37,42,1.56,.295
Matt M Roney,DET,1,9,5.45,45,11,0,0,0,0,100.2,102,67,61,17,4,48,47,1.49,.262
Johan J Santana,MIN,12,3,3.07,45,18,0,0,0,0,158.1,127,56,54,17,3,47,169,1.10,.216
T. J. T Tucker,MON,2,3,4.73,45,7,0,0,0,0,80.0,90,49,42,8,4,20,47,1.38,.278
Jung Keun J Bong,ATL,6,2,5.05,44,0,0,0,1,1,57.0,56,32,32,8,2,31,47,1.53,.267
Jason J Boyd,CLE,3,1,4.30,44,0,0,0,0,0,52.1,38,25,25,4,3,26,31,1.22,.200
Scot S Shields,ANA,5,6,2.85,44,13,0,0,1,1,148.1,138,56,47,12,5,38,111,1.19,.247
Jeff J Tam,TOR,0,4,5.64,44,0,0,0,1,1,44.2,58,30,28,5,1,25,26,1.86,.314
Aaron A Cook,COL,4,6,6.02,43,16,1,0,0,0,124.0,160,89,83,8,8,57,43,1.75,.317
Kelly K Wunsch,CWS,0,0,2.75,43,0,0,0,0,0,36.0,17,13,11,1,7,25,33,1.17,.139
Gary G Glover,ANA,2,0,4.74,42,0,0,0,0,0,62.2,77,33,33,6,3,22,37,1.58,.309
