PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Steve S Kline,STL,3,3,1.80,89,0,0,0,9,9,75.0,53,16,15,3,4,29,54,1.09,.203
Graeme G Lloyd,MON,9,5,4.35,84,0,0,0,1,1,70.1,74,38,34,6,6,21,44,1.35,.272
Jeff J Fassero,CHC,4,4,3.42,82,0,0,0,12,12,73.2,66,31,28,6,1,23,79,1.21,.235
Ray R King,MIL,0,4,3.60,82,0,0,0,1,1,55.0,49,22,22,5,1,25,49,1.35,.241
Paul P Quantrill,TOR,11,2,3.04,80,0,0,0,2,2,83.0,86,29,28,6,6,12,58,1.18,.274
Felix F Rodriguez,SF,9,1,1.68,80,0,0,0,0,0,80.1,53,16,15,5,1,27,91,1.00,.188
David D Weathers,CHC,4,5,2.41,80,0,0,0,4,4,86.0,65,24,23,6,3,34,66,1.15,.216
Robb R Nen,SF,4,5,3.01,79,0,0,0,45,45,77.2,58,28,26,6,1,22,93,1.03,.203
Scott S Sullivan,CIN,7,1,3.31,79,0,0,0,0,0,103.1,94,44,38,10,8,36,82,1.26,.243
Byung- Hyun B Kim,ARI,5,6,2.94,78,0,0,0,19,19,98.0,58,32,32,10,8,44,113,1.04,.173
Jeff J Shaw,LA,3,5,3.62,77,0,0,0,43,43,74.2,63,32,30,10,2,18,58,1.08,.227
Scott S Strickland,MON,2,6,3.21,77,0,0,0,9,9,81.1,67,36,29,9,4,41,85,1.33,.222
Kyle K Farnsworth,CHC,4,6,2.74,76,0,0,0,2,2,82.0,65,26,25,8,1,29,107,1.15,.213
Mike M Stanton,NYY,9,4,2.58,76,0,0,0,0,0,80.1,80,25,23,4,4,29,78,1.36,.263
Mike M De Jean,MIL,4,2,2.77,75,0,0,0,2,2,84.1,75,31,26,4,9,39,68,1.35,.236
Matt M Herges,LA,9,8,3.44,75,0,0,0,1,1,99.1,97,39,38,8,8,46,76,1.44,.259
Steve S Karsay,ATL,3,5,2.35,74,0,0,0,8,8,88.0,73,27,23,5,1,25,83,1.11,.228
Jay J Powell,COL,5,3,3.24,74,0,0,0,7,7,75.0,75,36,27,9,2,31,54,1.41,.260
Mike M Remlinger,ATL,3,3,2.76,74,0,0,0,1,1,75.0,67,25,23,9,2,23,93,1.20,.234
Armando A Benitez,NYM,6,4,3.77,73,0,0,0,43,43,76.1,59,32,32,12,1,40,93,1.30,.214
Jason J Grimsley,KC,1,5,3.02,73,0,0,0,0,0,80.1,71,32,27,8,2,28,61,1.23,.241
Mike M Myers,COL,2,3,3.60,73,0,0,0,0,0,40.0,32,17,16,2,1,24,36,1.40,.225
Jose J Santiago,PHI,4,6,4.61,73,0,0,0,0,0,91.2,106,47,47,5,3,22,43,1.40,.292
Tim T Worrell,SF,2,5,3.45,73,0,0,0,0,0,78.1,71,33,30,4,3,33,63,1.33,.240
Keith K Foulke,CWS,4,9,2.33,72,0,0,0,42,42,81.0,57,21,21,3,8,22,75,0.98,.199
Pedro P Borbon,TOR,2,4,3.71,71,0,0,0,0,0,53.1,48,24,22,8,4,12,45,1.13,.244
Braden B Looper,FLA,3,3,3.55,71,0,0,0,3,3,71.0,63,28,28,8,2,30,52,1.31,.242
Josias J Manzanillo,PIT,3,2,3.39,71,0,0,0,2,2,79.2,60,32,30,4,5,26,80,1.08,.211
Jose J Mesa,PHI,3,3,2.34,71,0,0,0,42,42,69.1,65,26,18,4,2,20,59,1.23,.246
Arthur A Rhodes,SEA,8,0,1.72,71,0,0,0,3,3,68.0,46,14,13,5,1,12,83,0.85,.189
Mariano M Rivera,NYY,4,6,2.34,71,0,0,0,50,50,80.2,61,24,21,5,1,12,83,0.90,.209
Dave D Veres,STL,3,2,3.70,71,0,0,0,15,15,65.2,57,29,27,12,2,28,61,1.29,.232
Buddy B Groom,BAL,1,4,3.55,70,0,0,0,11,11,66.0,64,28,26,4,1,9,54,1.11,.252
Curt C Leskanic,MIL,2,6,3.63,70,0,0,0,17,17,69.1,63,30,28,11,2,31,64,1.36,.241
Steve S Reed,ATL,3,3,3.55,70,0,0,0,1,1,58.1,52,25,23,6,3,23,46,1.29,.236
Scott S Sauerbeck,PIT,2,2,5.60,70,0,0,0,2,2,62.2,61,41,39,4,2,40,79,1.61,.257
