PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Michael M Jackson,SF,6,6,3.03,81,0,0,0,1,1,77.1,58,28,26,7,3,24,70,1.06,.204
Greg G Harris,BOS,6,7,3.77,80,0,0,0,8,8,112.1,95,55,47,7,10,60,103,1.38,.232
Rod R Beck,SF,3,1,2.16,76,0,0,0,48,48,79.1,57,20,19,11,3,13,86,0.88,.201
David D West,PHI,6,4,2.92,76,0,0,0,3,3,86.1,60,37,28,6,5,51,87,1.29,.194
Greg G Mc Michael,ATL,2,3,2.06,74,0,0,0,19,19,91.2,68,22,21,3,0,29,89,1.06,.206
Rob R Murphy,STL,5,7,4.87,73,0,0,0,1,1,64.2,73,37,35,8,1,20,41,1.44,.290
Randy R Myers,CHC,2,4,3.11,73,0,0,0,53,53,75.1,65,26,26,7,1,26,86,1.21,.230
Scott S Radinsky,CWS,8,2,4.28,73,0,0,0,4,4,54.2,61,33,26,3,1,19,44,1.46,.268
Paul P Assenmacher,NYY,4,3,3.38,72,0,0,0,0,0,56.0,54,21,21,5,1,22,45,1.36,.257
Xavier X Hernandez,HOU,4,5,2.61,72,0,0,0,9,9,96.2,75,37,28,6,1,28,101,1.07,.212
Tony T Fossas,BOS,1,1,5.18,71,0,0,0,0,0,40.0,38,28,23,4,2,15,39,1.33,.242
Doug D Jones,HOU,4,10,4.54,71,0,0,0,26,26,85.1,102,46,43,7,5,21,66,1.44,.298
Jeff J Nelson,SEA,5,3,4.35,71,0,0,0,1,1,60.0,57,30,29,5,8,34,61,1.52,.258
Duane D Ward,TOR,2,3,2.13,71,0,0,0,45,45,71.2,49,17,17,4,1,25,97,1.03,.193
Todd T Frohwirth,BAL,6,7,3.83,70,0,0,0,3,3,96.1,91,47,41,7,3,44,50,1.40,.256
Jeremy J Hernandez,CLE,6,7,3.63,70,0,0,0,8,8,111.2,116,52,45,14,0,34,70,1.34,.274
Roberto R Hernandez,CWS,3,4,2.29,70,0,0,0,38,38,78.2,66,21,20,6,0,20,71,1.09,.228
Eric E Plunk,CLE,4,5,2.79,70,0,0,0,15,15,71.0,61,29,22,5,0,30,77,1.28,.226
Rich R Rodriguez,FLA,2,4,3.79,70,0,0,0,3,3,76.0,73,38,32,10,2,33,43,1.39,.251
Bob B Scanlan,CHC,4,5,4.54,70,0,0,0,0,0,75.1,79,41,38,6,3,28,44,1.42,.278
John J Wetteland,MON,9,3,1.37,70,0,0,0,43,43,85.1,58,17,13,3,2,28,113,1.01,.188
Jeff J Montgomery,KC,7,5,2.27,69,0,0,0,45,45,87.1,65,22,22,3,2,23,66,1.01,.206
Bob B Mac Donald,DET,3,3,5.35,68,0,0,0,3,3,65.2,67,42,39,8,1,33,39,1.52,.268
Roger R Mason,PHI,5,12,4.06,68,0,0,0,0,0,99.2,90,48,45,10,2,34,71,1.24,.244
Trevor T Hoffman,SD,4,6,3.90,67,0,0,0,5,5,90.0,80,43,39,10,1,39,79,1.32,.234
Jeff J Innis,NYM,2,3,4.11,67,0,0,0,3,3,76.2,81,39,35,5,6,38,36,1.55,.278
Tom T Henke,TEX,5,5,2.91,66,0,0,0,40,40,74.1,55,25,24,7,1,27,79,1.10,.205
Mel M Rojas,MON,5,8,2.95,66,0,0,0,10,10,88.1,80,39,29,6,4,30,48,1.25,.242
Rick R Aguilera,MIN,4,3,3.11,65,0,0,0,34,34,72.1,60,25,25,9,1,14,59,1.02,.223
Pedro P Martinez,LA,10,5,2.61,65,2,0,0,2,2,107.0,76,34,31,5,4,57,119,1.24,.201
Blas B Minor,PIT,8,6,4.10,65,0,0,0,2,2,94.1,94,43,43,8,4,26,84,1.27,.263
Mike M Perez,STL,7,2,2.48,65,0,0,0,7,7,72.2,65,24,20,4,1,20,58,1.17,.244
Gary G Wayne,COL,5,3,5.05,65,0,0,0,1,1,62.1,68,40,35,8,1,26,49,1.51,.276
Mitch M Williams,PHI,3,7,3.34,65,0,0,0,43,43,62.0,56,30,23,3,2,44,60,1.61,.245
Larry L Andersen,PHI,3,2,2.92,64,0,0,0,0,0,61.2,54,22,20,4,1,21,67,1.22,.233
Dennis D Eckersley,OAK,2,4,4.16,64,0,0,0,36,36,67.0,67,32,31,7,2,13,80,1.19,.261
Steve S Reed,COL,9,5,4.48,64,0,0,0,3,3,84.1,80,47,42,13,3,30,51,1.30,.259
Kevin K Rogers,SF,2,2,2.68,64,0,0,0,0,0,80.2,71,28,24,3,4,28,62,1.23,.236
Stan S Belinda,KC,4,2,3.88,63,0,0,0,19,19,69.2,65,31,30,6,2,17,55,1.18,.247
Mike M Henneman,DET,5,3,2.64,63,0,0,0,24,24,71.2,69,28,21,4,2,32,58,1.41,.251
Lee L Smith,NYY,2,4,3.88,63,0,0,0,46,46,58.0,53,25,25,11,0,14,60,1.16,.239
Mike M Stanton,ATL,4,6,4.67,63,0,0,0,27,27,52.0,51,35,27,4,0,29,43,1.54,.255
Jim J Gott,LA,4,8,2.32,62,0,0,0,25,25,77.2,71,23,20,6,1,17,67,1.13,.248
Darren D Holmes,COL,3,3,4.05,62,0,0,0,25,25,66.2,56,31,30,6,2,20,60,1.14,.222
Joe J Boever,DET,6,3,3.61,61,0,0,0,3,3,102.1,101,50,41,9,4,44,63,1.42,.260
Mark M Davis,SD,1,5,4.26,60,0,0,0,4,4,69.2,79,37,33,10,1,44,70,1.77,.285
Matt M Whiteside,TEX,2,1,4.32,60,0,0,0,1,1,73.0,78,37,35,7,1,23,39,1.38,.281
Gene G Harris,SD,6,6,3.03,59,0,0,0,23,23,59.1,57,27,20,3,1,37,39,1.58,.256
Bryan B Harvey,FLA,1,5,1.70,59,0,0,0,45,45,69.0,45,14,13,4,0,13,73,0.84,.186
Joe J Klink,FLA,0,2,5.02,59,0,0,0,0,0,37.2,37,22,21,0,0,24,22,1.62,.266
Bruce B Ruffin,COL,6,5,3.80,59,12,0,0,2,2,139.2,145,70,59,10,1,69,126,1.53,.269
Jose J Bautista,CHC,10,3,2.82,58,7,1,0,2,2,111.2,105,38,35,11,5,27,63,1.18,.250
Mike M Maddux,NYM,3,8,3.60,58,0,0,0,5,5,75.0,67,34,30,3,4,27,57,1.25,.243
Omar O Olivares,STL,5,3,4.17,58,9,0,0,1,1,118.2,134,60,55,10,9,54,63,1.58,.288
Jeff J Reardon,CIN,4,6,4.09,58,0,0,0,8,8,61.2,66,34,28,4,5,10,35,1.23,.270
Richie R Lewis,FLA,6,3,3.26,57,0,0,0,0,0,77.1,68,37,28,7,1,43,65,1.44,.239
Jesse J Orosco,MIL,3,5,3.18,57,0,0,0,8,8,56.2,47,25,20,2,3,17,67,1.13,.224
Dan D Plesac,CHC,2,1,4.74,57,0,0,0,0,0,62.2,74,37,33,10,0,21,47,1.52,.298
Cris C Carpenter,TEX,4,2,3.50,56,0,0,0,1,1,69.1,64,30,27,5,4,25,53,1.28,.248
Jeff J Fassero,MON,12,5,2.29,56,15,1,0,1,1,149.2,119,50,38,7,0,54,140,1.16,.216
Derek D Lilliquist,CLE,4,4,2.25,56,2,0,0,10,10,64.0,64,20,16,5,1,19,40,1.30,.264
Ed E Nunez,OAK,3,6,3.81,56,0,0,0,1,1,75.2,89,36,32,2,6,29,58,1.56,.298
Tim T Scott,MON,7,2,3.01,56,0,0,0,1,1,71.2,69,28,24,4,4,34,65,1.44,.253
Steve S Frey,CAL,2,3,2.98,55,0,0,0,13,13,48.1,41,20,16,1,3,26,22,1.39,.230
Graeme G Lloyd,MIL,3,4,2.83,55,0,0,0,0,0,63.2,64,24,20,5,3,13,31,1.21,.256
Jim J Poole,BAL,2,1,2.15,55,0,0,0,2,2,50.1,30,18,12,2,0,21,29,1.01,.175
Jeff J Shaw,MON,2,7,4.14,55,8,0,0,0,0,95.2,91,47,44,12,7,32,50,1.29,.254
Matt M Turner,FLA,4,5,2.91,55,0,0,0,0,0,68.0,55,23,22,7,1,26,59,1.19,.227
Dave D Burba,SF,10,3,4.25,54,5,0,0,0,0,95.1,95,49,45,14,3,37,88,1.38,.265
Larry L Casian,MIN,5,3,3.02,54,0,0,0,1,1,56.2,59,23,19,1,1,14,31,1.29,.268
Mark M Eichhorn,TOR,3,1,2.72,54,0,0,0,0,0,72.2,76,26,22,3,3,22,47,1.35,.272
Doug D Henry,MIL,4,4,5.56,54,0,0,0,17,17,55.0,67,37,34,7,3,25,38,1.67,.300
Jay J Howell,ATL,3,3,2.31,54,0,0,0,0,0,58.1,48,16,15,3,0,16,37,1.10,.229
Roger R Mc Dowell,LA,5,3,2.25,54,0,0,0,2,2,68.0,76,32,17,2,2,30,27,1.56,.288
Mike M Timlin,TOR,4,2,4.69,54,0,0,0,1,1,55.2,63,32,29,7,1,27,49,1.62,.284
Jeff J Brantley,SF,5,6,4.28,53,12,0,0,0,0,113.2,112,60,54,19,7,46,76,1.39,.259
Mike M Hartley,MIN,1,2,4.00,53,0,0,0,1,1,81.0,86,38,36,4,7,36,57,1.51,.281
Carl C Willis,MIN,3,0,3.10,53,0,0,0,5,5,58.0,56,23,20,2,0,17,44,1.26,.259
Brian B Barnes,MON,2,6,4.41,52,8,0,0,3,3,100.0,105,53,49,9,0,48,60,1.53,.274
Rick R Honeycutt,OAK,1,4,2.81,52,0,0,0,1,1,41.2,30,18,13,2,1,20,21,1.20,.211
Craig C Lefferts,TEX,3,9,6.05,52,8,0,0,0,0,83.1,102,57,56,17,1,28,58,1.56,.304
