PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Justin J Morneau,MIN,163,623,97,187,47,4,23,129,76,85,0,1,.300,.374,.499,.873
Adrian A González,SD,162,616,103,172,32,1,36,119,74,142,0,0,.279,.361,.510,.871
Ryan R Howard,PHI,162,610,105,153,26,4,48,146,81,199,1,1,.251,.339,.543,.881
Raul R Ibanez L,SEA,162,635,85,186,43,3,23,110,64,110,2,4,.293,.358,.479,.837
Ichiro I Suzuki R,SEA,162,686,103,213,20,7,6,42,51,65,43,4,.310,.361,.386,.747
Carlos C Beltrán Beltran,NYM,161,606,116,172,40,5,27,112,92,96,25,3,.284,.376,.500,.876
Orlando O Cabrera S,CWS,161,661,93,186,33,1,8,57,56,71,19,6,.281,.334,.371,.705
James J Loney,LAD,161,595,66,172,35,6,13,90,45,85,7,4,.289,.338,.434,.772
Miguel M Cabrera,DET,160,616,85,180,36,2,37,127,56,126,1,0,.292,.349,.537,.887
David D Wright,NYM,160,626,115,189,42,2,33,124,94,118,15,5,.302,.390,.534,.924
Chris C Young,ARI,160,625,85,155,42,7,22,85,62,165,14,5,.248,.315,.443,.758
Lance L Berkman,HOU,159,554,114,173,46,4,29,106,99,108,18,4,.312,.420,.567,.986
Robinson R Canó,NYY,159,597,70,162,35,3,14,72,26,65,2,4,.271,.305,.410,.715
Carlos C Delgado,NYM,159,598,96,162,32,1,38,115,72,124,1,1,.271,.353,.518,.871
Prince P Fielder,MIL,159,588,86,162,30,2,34,102,84,134,3,2,.276,.372,.507,.879
Jose J Lopez,SEA,159,644,80,191,41,1,17,89,27,67,6,3,.297,.322,.443,.764
Jose J Reyes S,NYM,159,688,113,204,37,19,16,68,66,82,56,15,.297,.358,.475,.833
Chase C Utley,PHI,159,607,113,177,41,4,33,104,64,104,14,2,.292,.380,.535,.915
Adam A Dunn,ARI,158,517,79,122,23,0,40,100,122,164,2,1,.236,.386,.513,.898
Lyle L Overbay,TOR,158,544,74,147,32,2,15,69,74,116,1,2,.270,.358,.419,.777
Miguel M Tejada S,HOU,158,632,92,179,38,3,13,66,24,72,7,7,.283,.314,.415,.729
Pat P Burrell L,PHI,157,536,74,134,33,3,33,86,102,136,0,0,.250,.367,.507,.875
Corey C Hart R,MIL,157,612,76,164,45,6,20,91,27,109,23,7,.268,.300,.459,.759
Nick N Markakis R,BAL,157,595,106,182,48,1,20,87,99,113,10,7,.306,.406,.491,.897
Dustin D Pedroia,BOS,157,653,118,213,54,2,17,83,50,52,20,1,.326,.376,.493,.869
Hunter H Pence R,HOU,157,595,78,160,34,4,25,83,40,124,11,10,.269,.318,.466,.783
Grady G Sizemore C,CLE,157,634,101,170,39,5,33,90,98,130,38,5,.268,.374,.502,.876
Mark M Teixeira,LAA,157,574,102,177,41,0,33,121,97,93,2,0,.308,.410,.552,.962
Bobby B Abreu R,NYY,156,609,100,180,39,4,20,100,73,109,22,11,.296,.371,.471,.843
Josh J Hamilton C,TEX,156,624,98,190,35,5,32,130,64,126,9,1,.304,.371,.530,.901
Garrett G Atkins,COL,155,611,86,175,32,3,21,99,40,100,1,1,.286,.328,.452,.780
