TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
New York Yankees,AL,161,5601,897,1540,314,12,223,857,640,1171,100,38,.275,.354,.455,.809
Texas Rangers,AL,162,5618,843,1510,304,27,230,806,554,1055,62,34,.269,.338,.455,.794
Boston Red Sox,AL,162,5640,859,1560,348,33,177,810,545,944,80,28,.277,.345,.444,.789
Chicago White Sox,AL,162,5502,856,1475,289,29,217,819,555,952,75,31,.268,.338,.449,.787
San Francisco Giants,NL,162,5497,783,1465,300,35,198,751,616,961,74,21,.267,.344,.442,.786
Anaheim Angels,AL,162,5678,851,1603,333,32,152,811,462,805,117,51,.282,.341,.433,.773
Oakland Athletics,AL,162,5558,800,1450,279,28,205,772,609,1008,46,20,.261,.339,.432,.771
Arizona Diamondbacks,NL,162,5508,819,1471,283,41,165,783,643,1016,92,46,.267,.346,.423,.769
Minnesota Twins,AL,161,5582,768,1518,348,36,167,731,472,1089,79,62,.272,.332,.437,.769
Seattle Mariners,AL,162,5569,814,1531,285,31,152,771,629,1003,137,58,.275,.350,.419,.769
St. Louis Cardinals,NL,162,5505,787,1475,285,26,175,758,542,927,86,42,.268,.338,.425,.763
Philadelphia Phillies,NL,161,5523,710,1428,325,41,165,676,640,1095,104,43,.259,.339,.422,.761
Colorado Rockies,NL,162,5512,778,1508,283,41,152,726,497,1043,103,53,.274,.337,.423,.760
Toronto Blue Jays,AL,162,5581,813,1457,305,38,187,771,522,1142,71,18,.261,.327,.430,.757
Houston Astros,NL,162,5503,749,1441,291,32,167,719,589,1120,71,27,.262,.338,.417,.755
Montreal Expos,NL,162,5479,735,1432,300,36,162,695,575,1104,118,64,.261,.334,.418,.752
Atlanta Braves,NL,161,5495,708,1428,280,25,164,669,558,1028,76,39,.260,.331,.409,.741
Florida Marlins,NL,162,5496,699,1433,280,32,146,653,595,1130,177,73,.261,.337,.403,.740
Cincinnati Reds,NL,162,5470,709,1386,297,21,169,678,583,1188,116,52,.253,.330,.408,.738
Chicago Cubs,NL,162,5496,706,1351,259,29,200,676,585,1269,63,21,.246,.321,.413,.734
Cleveland Indians,AL,162,5423,739,1349,255,26,192,706,542,1000,52,37,.249,.321,.412,.733
Los Angeles Dodgers,NL,162,5554,713,1464,286,29,155,693,428,940,96,37,.264,.320,.409,.729
Kansas City Royals,AL,162,5535,737,1415,285,42,140,695,524,921,140,65,.256,.323,.398,.721
New York Mets,NL,161,5496,690,1409,238,22,160,650,486,1044,87,42,.256,.322,.395,.717
Baltimore Orioles,AL,162,5491,667,1353,311,27,165,636,452,993,110,48,.246,.309,.403,.712
Milwaukee Brewers,NL,162,5415,627,1369,269,29,139,597,500,1125,94,50,.253,.320,.390,.711
Tampa Bay Devil Rays,AL,161,5604,673,1418,297,35,133,640,456,1115,102,45,.253,.314,.390,.704
San Diego Padres,NL,162,5515,662,1393,243,29,136,627,547,1062,71,44,.253,.321,.381,.702
Pittsburgh Pirates,NL,161,5330,641,1300,263,20,142,610,537,1109,86,49,.244,.319,.381,.700
Detroit Tigers,AL,161,5406,575,1340,265,37,124,546,363,1035,65,44,.248,.300,.379,.679
