TEAM,LEAGUE,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Texas Rangers,AL,162,5728,901,1619,376,35,194,867,595,1207,81,25,.283,.354,.462,.816
Boston Red Sox,AL,162,5596,845,1565,353,33,173,807,646,1068,120,35,.280,.358,.447,.805
Chicago Cubs,NL,161,5588,855,1552,329,21,184,811,636,1186,87,34,.278,.354,.443,.797
Detroit Tigers,AL,162,5641,821,1529,293,41,200,780,572,1076,63,31,.271,.340,.444,.784
St. Louis Cardinals,NL,162,5636,779,1585,283,26,174,744,577,985,73,32,.281,.350,.433,.783
Chicago White Sox,AL,163,5553,811,1458,296,13,235,785,540,1016,67,34,.263,.332,.448,.780
Philadelphia Phillies,NL,162,5509,799,1407,291,36,214,762,586,1117,136,25,.255,.332,.438,.770
New York Yankees,AL,162,5572,789,1512,289,20,180,758,535,1015,118,39,.271,.342,.427,.769
Cleveland Indians,AL,162,5543,805,1455,339,22,171,772,560,1213,77,29,.262,.339,.424,.763
Tampa Bay Rays,AL,162,5541,774,1443,284,37,180,735,626,1224,142,50,.260,.340,.422,.762
Baltimore Orioles,AL,161,5559,782,1486,322,30,172,750,533,990,81,37,.267,.333,.429,.762
New York Mets,NL,162,5606,799,1491,274,38,172,751,619,1024,138,36,.266,.340,.420,.761
Florida Marlins,NL,161,5499,770,1397,302,28,208,741,543,1371,76,28,.254,.326,.433,.759
Milwaukee Brewers,NL,162,5535,750,1398,324,35,198,722,550,1203,108,38,.253,.325,.431,.757
Atlanta Braves,NL,162,5604,753,1514,316,33,130,721,618,1023,58,27,.270,.345,.408,.753
Colorado Rockies,NL,162,5557,747,1462,310,28,160,714,570,1209,141,37,.263,.336,.415,.751
Minnesota Twins,AL,163,5641,829,1572,298,49,111,791,529,979,102,42,.279,.340,.408,.748
Los Angeles Angels,AL,162,5540,765,1486,274,25,159,721,481,987,129,48,.268,.330,.413,.743
Arizona Diamondbacks,NL,162,5409,720,1355,318,47,159,683,587,1287,58,23,.251,.327,.415,.742
Houston Astros,NL,161,5451,712,1432,284,22,167,684,449,1051,114,52,.263,.323,.415,.737
Los Angeles Dodgers,NL,162,5506,700,1455,271,29,137,659,543,1032,126,43,.264,.333,.399,.732
Toronto Blue Jays,AL,162,5503,714,1453,303,32,126,681,521,938,80,27,.264,.331,.399,.731
Cincinnati Reds,NL,162,5465,704,1351,269,24,187,677,560,1125,85,47,.247,.321,.408,.728
Pittsburgh Pirates,NL,162,5628,735,1454,314,21,153,705,474,1039,57,19,.258,.320,.403,.723
Kansas City Royals,AL,162,5608,691,1507,303,28,120,650,392,1005,79,38,.269,.320,.397,.717
Seattle Mariners,AL,162,5643,671,1498,285,20,124,631,417,890,90,32,.265,.318,.389,.707
San Diego Padres,NL,162,5568,637,1390,264,27,154,615,518,1259,36,17,.250,.317,.390,.707
San Francisco Giants,NL,162,5543,640,1452,311,37,94,606,452,1044,108,46,.262,.321,.382,.703
Washington Nationals,NL,161,5491,641,1376,269,26,117,608,534,1095,81,43,.251,.323,.373,.696
Oakland Athletics,AL,161,5451,646,1318,270,23,125,610,574,1226,88,21,.242,.318,.369,.686
