PLAYER,TEAM,W,L,ERA,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
Paul P Quantrill,LA,5,4,2.70,86,0,0,0,1,1,76.2,80,27,23,1,3,25,53,1.37,.267
Billy B Koch,OAK,11,4,3.27,84,0,0,0,44,44,93.2,73,38,34,7,4,46,93,1.27,.214
Octavio O Dotel,HOU,6,4,1.85,83,0,0,0,6,6,97.1,58,21,20,7,4,27,118,0.87,.173
J. C. J Romero,MIN,9,2,1.89,81,0,0,0,1,1,81.0,62,17,17,3,4,36,76,1.21,.213
Tim T Worrell,SF,8,2,2.25,80,0,0,0,0,0,72.0,55,21,18,3,0,30,55,1.18,.212
Todd T Jones,COL,1,4,4.70,79,0,0,0,1,1,82.1,84,43,43,10,3,28,73,1.36,.269
Mike M Stanton,NYY,7,1,3.00,79,0,0,0,6,6,78.0,73,29,26,4,0,28,44,1.29,.256
Steve S Karsay,NYY,6,4,3.26,78,0,0,0,12,12,88.1,87,33,32,7,2,30,65,1.32,.258
Braden B Looper,FLA,2,5,3.14,78,0,0,0,13,13,86.0,73,31,30,8,1,28,55,1.17,.230
Scott S Sauerbeck,PIT,5,4,2.30,78,0,0,0,0,0,62.2,50,18,16,4,1,27,70,1.23,.220
Ricky R Stone,HOU,3,3,3.61,78,0,0,0,1,1,77.1,78,36,31,9,1,34,63,1.45,.266
Eric E Gagne,LA,4,1,1.97,77,0,0,0,52,52,82.1,55,18,18,6,2,16,114,0.86,.189
Vladimir V Nunez,FLA,6,5,3.41,77,0,0,0,20,20,97.2,80,38,37,8,0,37,73,1.20,.224
Kelvim K Escobar,TOR,5,7,4.27,76,0,0,0,38,38,78.0,75,39,37,10,5,44,85,1.53,.246
Ray R King,MIL,3,2,3.05,76,0,0,0,0,0,65.0,61,24,22,5,3,24,50,1.31,.255
Luis L Vizcaino,MIL,5,3,2.99,76,0,0,0,5,5,81.1,55,27,27,6,3,30,79,1.05,.192
Chad C Bradford,OAK,4,2,3.11,75,0,0,0,2,2,75.1,73,29,26,2,5,14,56,1.15,.253
John J Smoltz,ATL,3,2,3.25,75,0,0,0,55,55,80.1,59,30,29,4,0,24,85,1.03,.206
Jose J Jimenez,COL,2,10,3.56,74,0,0,0,41,41,73.1,76,34,29,7,3,11,47,1.19,.265
Jose J Mesa,PHI,4,6,2.97,74,0,0,0,45,45,75.2,65,26,25,5,4,39,64,1.37,.231
Joe J Borowski,CHC,4,4,2.73,73,0,0,0,2,2,95.2,84,31,29,10,1,29,97,1.18,.239
Jeff J Fassero,STL,8,6,5.35,73,0,0,0,0,0,69.0,81,43,41,9,3,27,56,1.57,.292
Mike M Remlinger,ATL,7,3,1.99,73,0,0,0,0,0,68.0,48,17,15,3,1,28,69,1.12,.198
Pedro P Borbon,HOU,4,4,5.36,72,0,0,0,1,1,50.1,53,32,30,10,3,25,50,1.55,.272
Byung- Hyun B Kim,ARI,8,3,2.04,72,0,0,0,36,36,84.0,64,20,19,5,6,26,92,1.07,.208
Mike M Timlin,PHI,4,6,2.98,72,1,0,0,0,0,96.2,75,35,32,15,5,14,50,0.92,.212
Ricardo R Rincon,OAK,1,4,4.18,71,0,0,0,1,1,56.0,47,28,26,4,1,11,49,1.04,.230
Felix F Rodriguez,SF,8,6,4.17,71,0,0,0,0,0,69.0,53,33,32,5,4,29,58,1.19,.212
Scott S Sullivan,CIN,6,5,6.06,71,0,0,0,1,1,78.2,93,60,53,15,5,31,78,1.58,.294
Dave D Veres,STL,5,8,3.48,71,0,0,0,4,4,82.2,67,34,32,12,2,39,68,1.28,.224
David D Weathers,NYM,6,3,2.91,71,0,0,0,0,0,77.1,69,30,25,6,3,36,61,1.36,.245
Brian B Boehringer,PIT,4,4,3.39,70,0,0,0,1,1,79.2,65,30,30,5,2,33,65,1.23,.229
Scott S Eyre,SF,2,4,4.46,70,3,0,0,0,0,74.2,80,41,37,4,0,36,58,1.55,.275
Jason J Grimsley,KC,4,7,3.91,70,0,0,0,1,1,71.1,64,32,31,4,1,37,59,1.42,.236
Buddy B Groom,BAL,3,2,1.60,70,0,0,0,2,2,62.0,44,11,11,4,2,12,48,0.90,.196
Billy B Wagner,HOU,4,2,2.52,70,0,0,0,35,35,75.0,51,21,21,7,2,22,88,0.97,.196
Mike M Myers,ARI,4,3,4.38,69,0,0,0,4,4,37.0,39,18,18,2,8,17,31,1.51,.275
Scott S Strickland,NYM,6,9,3.54,69,0,0,0,2,2,68.2,61,29,27,7,2,33,69,1.37,.234
Mike M De Jean,MIL,1,5,3.12,68,0,0,0,27,27,75.0,66,28,26,7,2,39,65,1.40,.237
Alan A Embree,BOS,4,6,2.18,68,0,0,0,2,2,62.0,47,19,15,6,1,20,81,1.08,.207
Danny D Graves,CIN,7,3,3.19,68,4,0,0,32,32,98.2,99,37,35,7,3,25,58,1.26,.264
Eddie E Guardado,MIN,1,3,2.93,68,0,0,0,45,45,67.2,53,22,22,9,1,18,70,1.05,.215
Mark M Guthrie,NYM,5,3,2.44,68,0,0,0,1,1,48.0,35,13,13,3,1,19,44,1.13,.207
Damaso D Marte,CWS,1,1,2.83,68,0,0,0,10,10,60.1,44,19,19,5,4,18,72,1.03,.204
Robb R Nen,SF,6,2,2.20,68,0,0,0,43,43,73.2,64,19,18,2,1,20,81,1.14,.232
Cliff C Politte,TOR,3,3,3.67,68,0,0,0,1,1,73.2,57,33,30,5,2,28,72,1.15,.211
Carlos C Silva,PHI,5,0,3.21,68,0,0,0,1,1,84.0,88,34,30,4,4,22,41,1.31,.282
Bob B Howry,BOS,3,5,4.19,67,0,0,0,0,0,68.2,67,37,32,9,5,21,45,1.28,.262
Jorge J Julio,BAL,5,6,1.99,67,0,0,0,25,25,68.0,55,22,15,5,2,27,55,1.21,.213
B. J. B Ryan,BAL,2,1,4.68,67,0,0,0,1,1,57.2,51,31,30,7,4,33,56,1.46,.241
Paul P Shuey,LA,8,2,3.31,67,0,0,0,1,1,68.0,56,29,25,3,1,31,63,1.28,.221
Scott S Stewart,MON,4,2,3.09,67,0,0,0,17,17,64.0,49,29,22,4,1,22,67,1.11,.207
Antonio A Alfonseca,CHC,2,5,4.00,66,0,0,0,19,19,74.1,73,34,33,5,3,36,61,1.47,.257
Steve S Kline,STL,2,1,3.39,66,0,0,0,6,6,58.1,54,23,22,3,1,21,41,1.29,.251
Graeme G Lloyd,FLA,4,5,5.21,66,0,0,0,5,5,57.0,67,34,33,6,2,19,37,1.51,.298
Arthur A Rhodes,SEA,10,4,2.33,66,0,0,0,2,2,69.2,45,18,18,4,0,13,81,0.83,.187
Willis W Roberts,BAL,5,4,3.36,66,0,0,0,1,1,75.0,79,34,28,5,4,32,51,1.48,.270
Juan J Acevedo,DET,1,5,2.65,65,0,0,0,28,28,74.2,68,33,22,4,5,23,43,1.22,.246
Mike M Fetters,ARI,3,3,4.09,65,0,0,0,0,0,55.0,53,31,25,4,3,37,53,1.64,.252
Jeremy J Fikac,SD,4,7,5.35,65,0,0,0,0,0,69.0,74,50,41,13,3,34,66,1.57,.267
Keith K Foulke,CWS,2,4,2.90,65,0,0,0,11,11,77.2,65,26,25,7,2,13,58,1.00,.225
La Troy L Hawkins,MIN,6,0,2.13,65,0,0,0,0,0,80.1,63,23,19,5,0,15,63,0.97,.217
Steve S Reed,NYM,2,5,2.01,64,0,0,0,1,1,67.0,56,15,15,2,8,14,50,1.04,.232
Mark M Wohlers,CLE,3,4,4.79,64,0,0,0,7,7,71.1,71,41,38,6,3,26,46,1.36,.261
Giovanni G Carrara,LA,6,3,3.28,63,1,0,0,1,1,90.2,83,34,33,14,6,32,56,1.27,.243
Chris C Hammond,ATL,7,2,0.95,63,0,0,0,0,0,76.0,53,15,8,1,1,31,63,1.11,.195
Justin J Speier,COL,5,1,4.33,63,0,0,0,1,1,62.1,51,31,30,9,3,19,47,1.12,.216
Ben B Weber,ANA,7,2,2.54,63,0,0,0,7,7,78.0,70,25,22,4,3,22,43,1.18,.249
Scott S Williamson,CIN,3,4,2.92,63,0,0,0,8,8,74.0,46,27,24,5,2,36,84,1.11,.181
Armando A Benitez,NYM,1,0,2.27,62,0,0,0,33,33,67.1,46,20,17,8,3,25,79,1.05,.190
Matt M Herges,MON,2,5,4.04,62,0,0,0,6,6,64.2,80,33,29,10,2,26,50,1.64,.305
Ramiro R Mendoza,NYY,8,4,3.44,62,0,0,0,4,4,91.2,102,43,35,8,2,16,61,1.29,.275
Gabe G White,CIN,6,1,2.98,62,0,0,0,0,0,54.1,49,19,18,3,2,10,41,1.09,.239
Trevor T Hoffman,SD,2,5,2.73,61,0,0,0,38,38,59.1,52,20,18,2,1,18,69,1.18,.234
Jim J Mecir,OAK,6,4,4.26,61,0,0,0,1,1,67.2,68,36,32,5,4,29,53,1.43,.259
Kazuhiro K Sasaki,SEA,4,5,2.52,61,0,0,0,37,37,60.2,44,24,17,6,2,20,73,1.05,.201
Ugueth U Urbina,BOS,1,6,3.00,61,0,0,0,40,40,60.0,44,21,20,8,0,20,71,1.07,.202
Rick R White,STL,5,7,4.31,61,0,0,0,0,0,62.2,62,33,30,4,1,21,41,1.32,.264
Jason J Isringhausen,STL,3,2,2.48,60,0,0,0,32,32,65.1,46,22,18,0,1,18,68,0.98,.199
Dan D Plesac,PHI,3,3,4.21,60,0,0,0,1,1,36.1,27,17,17,6,0,18,41,1.24,.200
Joey J Eischen,MON,6,1,1.34,59,0,0,0,2,2,53.2,43,11,8,1,2,18,51,1.14,.224
Antonio A Osuna,CWS,8,2,3.86,59,0,0,0,11,11,67.2,64,32,29,1,4,28,66,1.36,.250
Mike M Williams,PIT,2,6,2.93,59,0,0,0,46,46,61.1,54,24,20,6,1,21,43,1.22,.233
Scott S Cassidy,TOR,1,4,5.73,58,0,0,0,0,0,66.0,52,42,42,12,7,32,48,1.27,.222
Michael M Jackson,MIN,2,3,3.27,58,0,0,0,0,0,55.0,59,20,20,5,4,13,29,1.31,.284
Kent K Mercker,COL,3,1,6.14,58,0,0,0,0,0,44.0,55,33,30,12,2,22,37,1.75,.299
Troy T Percival,ANA,4,1,1.92,58,0,0,0,40,40,56.1,38,12,12,5,0,25,68,1.12,.188
Dennys D Reyes,TEX,4,4,5.33,58,5,0,0,0,0,82.2,98,52,49,10,0,45,59,1.73,.299
Kevin K Gryboski,ATL,2,1,3.48,57,0,0,0,0,0,51.2,50,20,20,6,5,37,33,1.68,.256
T. J. T Tucker,MON,6,3,4.11,57,0,0,0,4,4,61.1,69,32,28,5,0,31,42,1.63,.290
Jamie J Walker,DET,1,1,3.71,57,0,0,0,1,1,43.2,32,19,18,9,4,9,40,0.94,.199
Rick R Bauer,BAL,6,7,3.98,56,1,0,0,1,1,83.2,84,41,37,12,4,36,45,1.43,.268
Jesse J Orosco,LA,1,2,3.00,56,0,0,0,1,1,27.0,24,10,9,4,0,12,22,1.33,.229
Bruce B Chen,CIN,2,5,5.56,55,6,0,0,0,0,77.2,85,53,48,16,2,43,80,1.65,.274
Darren D Holmes,ATL,2,2,1.81,55,0,0,0,1,1,54.2,41,12,11,3,2,12,47,0.97,.210
Mike M Koplove,ARI,6,1,3.36,55,0,0,0,0,0,61.2,47,24,23,2,0,23,46,1.14,.213
Mike M Lincoln,PIT,2,4,3.11,55,0,0,0,0,0,72.1,80,28,25,7,0,27,50,1.48,.290
Brandon B Puffer,HOU,3,3,4.43,55,0,0,0,0,0,69.0,67,37,34,3,5,38,48,1.52,.258
Esteban E Yan,TB,7,8,4.30,55,0,0,0,19,19,69.0,70,35,33,10,3,29,53,1.43,.259
Rheal R Cormier,PHI,5,6,5.25,54,0,0,0,0,0,60.0,61,38,35,6,4,32,49,1.55,.266
Scott S Schoeneweis,ANA,9,8,4.88,54,15,0,0,1,1,118.0,119,68,64,17,5,49,65,1.42,.264
Joe J Beimel,PIT,2,5,4.64,53,8,0,0,0,0,85.1,88,49,44,9,4,45,53,1.56,.267
Shigetoshi S Hasegawa,SEA,8,3,3.20,53,0,0,0,1,1,70.1,60,26,25,4,2,30,39,1.28,.238
Felix F Heredia,TOR,1,2,3.61,53,0,0,0,0,0,52.1,51,29,21,5,2,26,31,1.47,.256
Roberto R Hernandez,KC,1,3,4.33,53,0,0,0,26,26,52.0,62,29,25,6,3,12,39,1.42,.300
Juan J Alvarez,TEX,0,4,4.76,52,0,0,0,0,0,39.2,35,22,21,7,3,21,30,1.41,.241
Jim J Brower,MON,3,2,4.37,52,0,0,0,0,0,80.1,77,40,39,7,4,32,57,1.36,.252
Doug D Creek,SEA,3,2,5.82,52,0,0,0,0,0,55.2,57,37,36,10,7,35,56,1.65,.261
Al A Levine,ANA,4,4,4.24,52,0,0,0,5,5,63.2,61,35,30,8,2,34,40,1.49,.253
Kerry K Ligtenberg,ATL,3,4,2.97,52,0,0,0,0,0,66.2,52,23,22,6,0,33,51,1.28,.213
Armando A Almanza,FLA,3,2,4.34,51,0,0,0,2,2,45.2,36,22,22,8,0,23,57,1.29,.224
Valerio V De Los Santos,MIL,2,3,3.12,51,0,0,0,0,0,57.2,42,21,20,4,2,26,38,1.18,.211
Sean S Lowe,COL,5,3,5.79,51,1,0,0,0,0,79.1,101,58,51,9,7,41,64,1.79,.313
Jay J Powell,TEX,3,2,3.44,51,0,0,0,0,0,49.2,50,28,19,5,1,24,35,1.49,.253
David D Riske,CLE,2,2,5.26,51,0,0,0,1,1,51.1,49,32,30,8,4,35,65,1.64,.257
Tim T Spooneybarger,ATL,1,0,2.63,51,0,0,0,1,1,51.1,38,16,15,4,2,26,33,1.25,.207
Jose J Cabrera,MIL,6,10,6.79,50,11,0,0,0,0,103.1,131,84,78,23,9,36,61,1.62,.314
Todd T Van Poppel,TEX,3,2,5.45,50,0,0,0,1,1,72.2,80,44,44,14,3,29,85,1.50,.275
Kelly K Wunsch,CWS,2,1,3.41,50,0,0,0,0,0,31.2,26,12,12,3,5,19,22,1.42,.230
Chad C Zerbe,SF,2,0,3.04,50,0,0,0,0,0,56.1,52,22,19,3,4,21,26,1.30,.248
Mike M Crudale,STL,3,0,1.88,49,1,0,0,0,0,52.2,43,11,11,3,1,14,47,1.08,.228
Mike M Holtz,SD,2,2,5.40,49,0,0,0,0,0,35.0,42,25,21,5,2,30,26,2.06,.294
Tony T Fiore,MIN,10,3,3.16,48,2,0,0,0,0,91.0,74,32,32,10,5,43,55,1.29,.224
Bob B Wells,MIN,2,1,5.90,48,0,0,0,0,0,58.0,78,41,38,8,1,16,30,1.62,.325
Mike M Matthews,MIL,2,1,3.94,47,0,0,0,0,0,45.2,43,23,20,5,2,29,34,1.58,.256
Michael M Tejera,FLA,8,8,4.45,47,18,0,0,1,1,139.2,144,71,69,17,6,60,95,1.46,.269
Mike M Venafro,OAK,2,2,4.62,47,0,0,0,0,0,37.0,45,22,19,5,2,14,16,1.59,.308
Terry T Adams,PHI,7,9,4.35,46,19,0,0,0,0,136.2,132,76,66,9,3,58,96,1.39,.255
Brendan B Donnelly,ANA,1,1,2.17,46,0,0,0,1,1,49.2,32,13,12,2,2,19,54,1.03,.184
Juan J Cruz,CHC,3,11,3.98,45,9,0,0,1,1,97.1,84,56,43,11,8,59,81,1.47,.241
Kyle K Farnsworth,CHC,4,6,7.33,45,0,0,0,1,1,46.2,53,47,38,9,1,24,46,1.65,.293
Mariano M Rivera,NYY,1,4,2.74,45,0,0,0,28,28,46.0,35,16,14,3,2,11,41,1.00,.203
Ron R Villone,PIT,4,6,5.81,45,7,0,0,0,0,93.0,95,63,60,8,5,34,55,1.39,.270
Tim T Wakefield,BOS,11,5,2.81,45,15,0,0,3,3,163.1,121,57,51,15,9,51,134,1.05,.204
Rocky R Biddle,CWS,3,4,4.06,44,7,0,0,1,1,77.2,72,42,35,13,5,39,64,1.43,.245
Jeff J Farnsworth,DET,2,3,5.79,44,0,0,0,0,0,70.0,100,47,45,6,2,29,28,1.84,.338
Scott S Mullen,KC,4,5,3.15,44,0,0,0,0,0,40.0,40,16,14,5,2,13,21,1.33,.267
Jay J Witasick,SF,1,0,2.37,44,0,0,0,0,0,68.1,58,19,18,3,4,21,54,1.16,.234
Nelson N Cruz,HOU,2,6,4.48,43,5,0,0,0,0,78.1,90,44,39,12,6,29,61,1.52,.285
Casey C Fossum,BOS,5,4,3.46,43,12,0,0,1,1,106.2,113,56,41,12,4,30,101,1.34,.268
Aaron A Fultz,SF,2,2,4.79,43,0,0,0,0,0,41.1,47,22,22,4,3,19,31,1.60,.294
Luther L Hackman,STL,5,4,4.11,43,6,0,0,0,0,81.0,90,42,37,7,4,39,46,1.59,.287
